filme,decada,score,nacionalidade,genero
Turning Red,2020,3,USA,Animation
Everything Everywhere All at Once,2020,3,USA,Action
Texas Chainsaw Massacre,2020,3,USA,Crime
"Weekend Away, The",2020,3,USA,Crime
"Adam Project, The",2020,1,USA,Action
Fresh,2020,3,USA,Horror
"Lost City, The",2020,3,USA,Action
"Bubble, The",2020,3,USA,Comedy
Sonic the Hedgehog 2,2020,3,USA,Action
"Bad Guys, The",2020,3,USA,Animation
"In Between , The",2020,1,USA,Drama
Morbius,2020,1,USA,Action
Death on the Nile,2020,3,USA,Crime
Doctor Strange in the Multiverse of Madness,2020,3,USA,Action
"Northman, The",2020,1,USA,Action
Senior Year,2020,3,USA,Comedy
Fantastic Beasts: The Secrets of Dumbledore,2020,1,USA,Adventure
Top Gun: Maverick,2020,3,USA,Action
Kimi,2020,2,USA,Crime
Strange World,2020,3,USA,Animation
Jurassic World Dominion,2020,3,USA,Action
Spiderhead,2020,1,USA,Action
"Good luck to you, Leo Grande",2020,3,USA,Comedy
Metal Lords,2020,1,USA,Comedy
X,2020,3,USA,Horror
Lightyear,2020,2,USA,Animation
Chip &#39;n Dale: Rescue Rangers,2020,3,USA,Animation
Beavis and Butt-Head do the Universe,2020,0,USA,Animation
Love and Gelato,2020,3,USA,Comedy
Elvis,2020,1,USA,Biography
Teen Titans Go! &amp; DC Super Hero Girls: Mayhem in the Multiverse,2020,3,USA,Animation
Thor: Love and Thunder,2020,3,USA,Action
"House, The",2020,3,USA,Animation
Emily the Criminal,2020,3,USA,Crime
Minions: the rise of gru,2020,1,USA,Animation
"Bob&#146;s Burgers Movie, The",2020,3,USA,Animation
"Gray Man, The",2020,2,USA,Action
Emergency,2020,3,USA,Comedy
Paper Girls,2020,3,USA,Adventure
Bullet Train,2020,1,USA,Action
Prey,2020,3,USA,Action
"Sea Beast, The",2020,3,USA,Animation
All the old knives,2020,3,USA,Mystery
Nope,2020,1,USA,Horror
Thirteen Lives,2020,0,USA,Biography
Mad God,2020,0,USA,Animation
Bodies Bodies Bodies,2020,3,USA,Comedy
Not Okay,2020,3,USA,Comedy
Look Both Ways,2020,3,USA,Comedy
Do Revenge,2020,3,USA,Comedy
Don&#39;t Worry Darling,2020,3,USA,Drama
Pinocchio,2020,1,USA,Adventure
Hocus Pocus 2,2020,3,USA,Comedy
Triangle of Sadness,2020,3,USA,Comedy
Flux Gourmet,2020,3,USA,Comedy
"Menu, The",2020,3,USA,Comedy
Pearl,2020,3,USA,Drama
Blonde,2020,2,USA,Drama
"Invitation, The",2020,3,USA,Horror
Samartian,2020,1,USA,Action
Smile,2020,3,USA,Horror
Purple Heart,2020,3,USA,Drama
Spirited,2020,3,USA,Comedy
Clerks III,2020,1,USA,Comedy
Barbarian,2020,3,USA,Horror
Deep Woods,2020,1,USA,Thriller
Wendell &amp; Wild,2020,3,USA,Animation
"Woman King, The",2020,3,USA,Action
Final Cut,2020,3,USA,Comedy
Halloween Kills,2020,3,USA,Action
Wonder Woman,2010,3,USA,Action
"Bye Bye Man, The",2010,3,USA,Drama
"Coin Heist, The",2010,3,USA,Crime
Alexander IRL,2010,2,USA,Comedy
xXx: Return of Xander Cage,2010,3,USA,Action
"LEGO Batman Movie, The",2010,3,USA,Animation
"Space Between Us, The",2010,3,USA,Drama
John Wick: Chapter 2,2010,1,USA,Action
Fifty Shades Darker,2010,3,USA,Drama
Logan,2010,3,USA,Action
For Here or To Go?,2010,3,USA,Comedy
Table 19,2010,3,USA,Comedy
Before I Fall,2010,3,USA,Drama
Kong: Skull Island,2010,1,USA,Action
Get Out,2010,3,USA,Horror
Beauty and the Beast,1990,3,USA,Animation
Deidra &amp; Laney Rob a Train,2010,3,USA,Comedy
Power Rangers,2010,3,USA,Action
Life,2010,3,USA,Biography
Ghost in the Shell,2010,3,USA,Action
"Boss Baby, The",2010,1,USA,Animation
Unlocked,2010,3,USA,Action
I Don&#39;t Feel at Home in This World Anymore,2010,3,USA,Comedy
"Fate of the Furious, The",2010,3,USA,Action
"Discovery, The",2010,3,USA,Drama
Unforgettable,2010,3,USA,Drama
Guardians of the Galaxy Vol. 2,2010,3,USA,Action
"Circle, The",2010,3,USA,Drama
Alien: Covenant,2010,3,USA,Horror
King Arthur,2010,1,USA,Action
Pirates of the Caribbean: Dead Men Tell No Tales,2010,1,USA,Action
Gifted,2010,3,USA,Drama
"Everything, Everything",2010,3,USA,Drama
Snatched,2010,3,USA,Action
T2 Trainspotting,2010,3,USA,Comedy
"Mummy, The",1990,1,USA,Action
My Cousin Rachel,2010,3,USA,Drama
Megan Leavy,2010,3,USA,Action
Captain Underpants: The First Epic Movie,2010,1,USA,Animation
Rough Night,2010,3,USA,Comedy
Annabelle: Creation,2010,3,USA,Horror
Beatriz at Dinner,2010,3,USA,Comedy
"Shack, The",2010,3,USA,Drama
Cars 3,2010,3,USA,Animation
Despicable Me 3,2010,3,USA,Animation
Baby Driver,2010,1,USA,Action
"Big Sick, The",2010,3,USA,Comedy
Spider-Man: Homecoming,2010,3,USA,Action
Atomic Blonde,2010,3,USA,Action
"Last Word, The",2010,3,USA,Comedy
"Little Hours, The",2010,3,USA,Comedy
It Comes at Night,2010,3,USA,Drama
War for the Planet of the Apes,2010,1,USA,Action
Okja,2010,3,USA,Action
Wind River,2010,3,USA,Crime
"Beguiled, The",2010,3,USA,Drama
Wish Upon,2010,3,USA,Drama
Dunkirk,2010,0,USA,Action
Valerian and the City of a Thousand Planets,2010,1,USA,Action
Detroit,2010,2,USA,Crime
"Incredible Jessica James, The",2010,3,USA,Comedy
Girls Trip,2010,3,USA,Adventure
"Dark Tower, The",2010,1,USA,Action
"Emoji Movie, The",2010,1,USA,Animation
To the bone,2010,3,USA,Drama
"Hitman&#39;s Bodyguard, The",2010,3,USA,Action
American Made,2010,1,USA,Action
Logan Lucky,2010,3,USA,Action
Tulip Fever,2010,3,USA,Drama
Naked,2010,2,USA,Comedy
Death Note,2010,0,USA,Crime
What Happened to Monday,2010,3,USA,Action
It,1990,1,USA,Drama
Mother!,2010,2,USA,Drama
"I, Tonya",2010,3,USA,Biography
Ingrid Goes West,2010,3,USA,Comedy
Amityville: The Awakening,2010,3,USA,Horror
"Wall, The",2010,0,USA,Action
Geostorm,2010,3,USA,Action
"Foreigner, The",2010,1,USA,Action
Revelator,2010,3,USA,Horror
Kingsman: The Golden Circle,2010,1,USA,Action
American Assassin,2010,3,USA,Action
Happy Death Day,2010,3,USA,Comedy
Battle of the Sexes,2010,3,USA,Biography
Band Aid,2010,3,USA,Comedy
Lady Bird,2010,3,USA,Comedy
Blade Runner 2049,2010,3,USA,Action
Gerald&#39;s Game,2010,3,USA,Drama
My Little Pony: The Movie,2010,3,USA,Animation
Good Time,2010,3,USA,Crime
Professor Marston and the Wonder Women,2010,3,USA,Biography
Victoria &amp; Abdul,2010,2,USA,Biography
Home Again,2010,3,USA,Comedy
Wheelman,2010,1,USA,Action
Only the Brave,2010,2,USA,Action
"Death of Stalin, The",2010,1,USA,Comedy
Thor: Ragnarok,2010,1,USA,Action
47 Meters Down,2010,3,USA,Horror
Jigsaw,2010,3,USA,Horror
"Mad Ones, The",2010,3,USA,Comedy
Pokemon the Movie: I Choose You!,2010,3,USA,Animation
"Meyerowitz Stories (new and selected), The",2010,1,USA,Comedy
"Florida Project, The",2010,3,USA,Drama
Marshall,2010,1,USA,Biography
Wonder,2010,3,USA,Drama
Justice League,2010,3,USA,Action
Sand Castle,2010,0,USA,Action
"Man with the Iron Heart, The",2010,1,USA,Action
"Punisher, The",1980,1,USA,Action
Murder on the Orient Express,2010,3,USA,Crime
Coco,2010,3,USA,Animation
Transformers: The Last Knight,2010,1,USA,Action
"Nut Job 2: Nutty By Nature, The",2010,3,USA,Animation
Psych: The Movie,2010,3,USA,Comedy
"Only Living Boy in New York, The",2010,1,USA,Drama
A Christmas Prince,2010,3,USA,Comedy
El Camino Christmas,2010,2,USA,Comedy
Star Wars: The Last Jedi,2010,3,USA,Action
Molly&#39;s Game,2010,3,USA,Biography
