movie,decade,rating,country,genre
"Croods: A New Age, The",2020,3,USA,"Animation, Adventure, Comedy"
"Midnight Sky, The",2020,3,USA,"Adventure, Drama, Sci-Fi"
Wonder Woman 1984,2020,3,USA,"Action, Adventure, Fantasy"
Borat Subsequent Moviefilm,2020,3,USA,Comedy
Superintelligence,2020,3,USA,"Action, Comedy, Romance"
News of the World,2020,3,USA,"Action, Adventure, Drama"
Run Hide Fight,2020,3,USA,"Action, Crime, Drama"
Pieces of a Woman,2020,3,USA,Drama
I&#39;m Your Woman,2020,3,USA,"Crime, Drama"
Unpregnant,2020,3,USA,"Comedy, Drama"
Mank,2020,1,USA,"Biography, Comedy, Drama"
Breach,2020,1,USA,"Action, Horror, Sci-Fi"
Run,2020,3,USA,"Drama, Horror, Mystery"
Ma Rainey&#39;s Black Bottom,2020,3,USA,"Drama, Music"
Nomadland,2020,3,USA,Drama
Promising Young Woman,2020,3,USA,"Crime, Drama, Mystery"
Ammonite,2020,3,USA,"Drama, History, Romance"
I Care a Lot,2020,3,USA,"Comedy, Crime, Drama"
"Lost Husband, The",2020,3,USA,"Drama, Romance"
Infamous,2020,3,USA,"Crime, Drama, Romance"
Monster Hunter,2020,3,USA,"Action, Adventure, Fantasy"
Penguin Bloom,2020,3,USA,"Biography, Drama, Family"
Deep Blue Sea 3,2020,1,USA,"Action, Horror, Sci-Fi"
"Courier, The",2020,3,USA,"Drama, History, Mystery"
Love and Monsters,2020,2,USA,"Action, Adventure, Comedy"
"Retreat, The",2020,0,USA,"Horror, Mystery"
Shadow in the Cloud,2020,0,USA,"Action, Horror, War"
Holidate,2020,3,USA,"Comedy, Romance"
Friend of the World,2020,3,USA,"Comedy, Horror, Sci-Fi"
one night in san diego,2020,2,USA,Comedy
One Night in Miami...,2020,2,USA,Drama
Normal People,2020,3,USA,"Drama, Romance"
A Quiet Place Part II,2020,3,USA,"Drama, Horror, Sci-Fi"
To All the Boys: P.S. I Still Love You,2020,3,USA,"Comedy, Drama, Romance"
Mainstream,2020,3,USA,"Comedy, Drama"
Motherland: Fort Salem,2020,3,USA,"Drama, Fantasy, Sci-Fi"
An American Pickle,2020,1,USA,"Comedy, Fantasy"
Geenland,2020,3,USA,"Action, Thriller"
"Craft: Legacy, The",2020,3,USA,"Drama, Fantasy, Horror"
"world to come, The",2020,3,USA,"Drama, History, Western"
I&#39;m Thinking of Ending Things,2020,0,USA,"Drama, Thriller"
Dolittle,2020,3,USA,"Adventure, Comedy, Family"
Save Yourselves!,2020,3,USA,"Adventure, Comedy, Sci-Fi"
Antebellum,2020,3,USA,"Drama, Horror, Mystery"
Golden Arm,2020,3,USA,Comedy
Ava,2020,2,USA,"Action, Crime, Drama"
We Can Be Heroes,2020,3,USA,"Action, Comedy, Drama"
"Happy Halloween, Scooby-Doo!",2020,3,USA,"Animation, Adventure, Comedy"
"Banker, The",2020,1,USA,"Biography, Drama"
Boss Level,2020,2,USA,"Action, Adventure, Comedy"
Spree,2020,3,USA,"Comedy, Crime, Horror"
Kajillionaire,2020,3,USA,"Comedy, Crime, Drama"
Four Good Days,2020,3,USA,Drama
Scare Package,2020,3,USA,"Comedy, Horror"
Zola,2020,3,USA,"Comedy, Crime, Drama"
Miss Juneteenth,2020,3,USA,Drama
Murder Bury Win,2020,0,USA,"Comedy, Crime, Drama"
"Rental, The",2020,3,USA,"Drama, Horror, Mystery"
Shiva Baby,2020,3,USA,"Comedy, Drama"
Summertime,1950,3,USA,"Comedy, Drama, Romance"
Little Fires Everywhere,2020,2,USA,"Drama, Mystery, Thriller"
Dating Amber,2020,3,USA,"Comedy, Drama, Romance"
"Tomorrow War, The",2020,2,USA,"Action, Adventure, Drama"
Finding &#39;Ohana,2020,3,USA,"Action, Adventure, Comedy"
"Dry, The",2020,3,USA,"Crime, Drama, Mystery"
Raya and the Last Dragon,2020,3,USA,"Animation, Action, Adventure"
Judas and The Black Messiah,2020,2,USA,"Biography, Drama, History"
Coming 2 America,2020,3,USA,"Comedy, Music"
Moxie,2020,3,USA,"Comedy, Drama"
Cherry,2020,0,USA,"Biography, Crime, Drama"
Zack Snyder&#39;s Justice League,2020,3,USA,"Action, Adventure, Fantasy"
"United States vs. Billie Holiday, The",2020,3,USA,"Biography, Drama, Music"
Willy&#39;s Wonderland,2020,3,USA,"Action, Comedy, Horror"
"Mauritanian, The",2020,3,USA,"Biography, Crime, Drama"
Nobody,2020,1,USA,"Action, Crime, Drama"
Thunder Force,2020,3,USA,"Action, Adventure, Comedy"
